year,month,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours),station,latitude,longitude
1995,9,15.9,11.2,0.0,77.2,158.4,aberporth,52.139,4.57
1995,10,15.5,10.8,0.0,86.8,120.2,aberporth,52.139,4.57
1995,11,10.7,5.8,0.0,117.0,80.2,aberporth,52.139,4.57
1995,12,6.0,1.8,9.0,93.5,67.6,aberporth,52.139,4.57
1996,1,6.9,3.4,8.0,75.1,50.0,aberporth,52.139,4.57
1996,2,6.0,1.1,13.0,67.4,115.0,aberporth,52.139,4.57
1996,3,7.7,3.0,3.0,44.8,94.1,aberporth,52.139,4.57
1996,4,11.1,4.9,0.0,58.2,151.2,aberporth,52.139,4.57
1996,5,11.8,5.4,0.0,69.4,250.7,aberporth,52.139,4.57
1996,6,15.7,9.8,0.0,26.8,252.5,aberporth,52.139,4.57
1996,7,17.8,12.0,0.0,28.0,222.2,aberporth,52.139,4.57
1996,8,17.9,12.2,0.0,53.0,183.1,aberporth,52.139,4.57
1996,9,17.0,10.6,0.0,30.4,204.9,aberporth,52.139,4.57
1996,10,14.1,10.0,0.0,107.2,82.7,aberporth,52.139,4.57
1996,11,9.4,5.1,0.0,100.6,59.9,aberporth,52.139,4.57
1996,12,6.3,1.6,8.0,32.0,83.8,aberporth,52.139,4.57
1997,1,5.8,1.0,13.0,4.6,95.7,aberporth,52.139,4.57
1997,2,9.2,4.2,0.0,85.0,68.1,aberporth,52.139,4.57
1997,3,10.8,5.6,0.0,21.6,146.9,aberporth,52.139,4.57
1997,4,12.3,6.0,0.0,14.8,184.5,aberporth,52.139,4.57
1997,5,14.7,7.9,0.0,72.6,258.1,aberporth,52.139,4.57
1997,6,15.8,10.5,0.0,125.8,134.4,aberporth,52.139,4.57
1997,7,18.2,11.9,0.0,58.6,228.9,aberporth,52.139,4.57
1997,8,20.2,14.1,0.0,105.2,156.8,aberporth,52.139,4.57
1997,9,16.7,11.3,0.0,54.2,145.0,aberporth,52.139,4.57
1997,10,14.0,8.4,0.0,65.4,121.6,aberporth,52.139,4.57
1997,11,11.3,7.4,0.0,219.0,48.8,aberporth,52.139,4.57
